DateAndTime , SolData , Irr. Unc. % , ISF (stable?) , Kipp&Zonen , Tamb , Isc a-Si , Voc a-Si , Vmp a-Si , Pmax a-Si , T a-Si , Isc 459 , Voc 459 , Vmp 459 , Pmax 459 , T 459 , Isc CIS , Voc CIS , Vmp CIS , Pmax CIS , T CIS , Isc NESTE , Voc NESTE , Vmp NESTE , Pmax NESTE , T NESTE , Isc 433 , Voc 433 , Vmp 433 , Pmax 433 , T 433 , Isc 422 , Voc 422 , Vmp 422 , Pmax 422 , T 422 , Isc A10160 , Voc A10160 , Vmp A10160 , Pmax A10160 , T A10160, Isc A10156 , Voc A10156 , Vmp A10156 , Pmax A10156 , T A10156 , Isc 423 , Voc 423 , Vmp 423 , Pmax 423 , T 423 , Isc GPV , Voc GPV , Vmp GPV , Pmax GPV , T GPV , Airmass , Elevation , Azimuth , ECT A10160 , ECT A10156 , GHI
 220615050308 , 28.190354 , 0.601541 , 0.015673 , 29.895295 , 8.735657 , 0.117398 , 33.101937 , 27.557138 , 2.808968 , 8.308597 , 0.245935 , 32.737399 , 27.397939 , 5.833550 , 9.485020 , 0.121252 , 32.235755 , 26.014011 , 2.738381 , 9.323414 , 0.241591 , 32.096909 , 25.935907 , 5.446571 , 8.786886 , 0.244802 , 32.856630 , 27.239685 , 5.826906 , 9.973419 , 0.244578 , 32.579049 , 26.886406 , 5.627199 , 9.389391 , 0.256766 , 33.668813 , 28.331745 , 6.531615 , 9.776066, 0.251683 , 33.154425 , 28.282874 , 6.430438 , 8.695127 , 0.248079 , 32.802725 , 27.613189 , 6.023070 , 9.228123 , 0.233697 , 33.088230 , 27.403130 , 5.600119 , 9.324381 , 14.560113 , 3.145078 , -47.935496 , 4.502563 , 4.314532 , 32.419675
 220615050904 , 27.150563 , 0.707008 , 0.017125 , 30.022409 , 8.708191 , 0.112549 , 32.987101 , 27.360978 , 2.687221 , 8.720183 , 0.238023 , 32.620495 , 27.306040 , 5.575312 , 9.837304 , 0.117207 , 32.117187 , 25.944404 , 2.624015 , 9.504513 , 0.232964 , 31.979453 , 25.893757 , 5.207663 , 9.322881 , 0.233490 , 32.739853 , 27.123765 , 5.536529 , 10.251792 , 0.236623 , 32.458185 , 26.783997 , 5.360390 , 9.696932 , 0.247889 , 33.557602 , 28.330825 , 6.249179 , 10.040364, 0.241376 , 33.053648 , 27.901968 , 6.156094 , 8.913230 , 0.239258 , 32.689537 , 27.253819 , 5.747895 , 9.410578 , 0.224213 , 32.973760 , 27.224656 , 5.356921 , 9.727212 , 12.880981 , 3.728380 , -49.167110 , 4.632110 , 4.781763 , 38.575581
 220615051005 , 27.157393 , 0.786635 , 0.017678 , 30.353378 , 8.731079 , 0.113653 , 32.979736 , 26.665178 , 2.713251 , 8.836563 , 0.238346 , 32.616305 , 27.555308 , 5.577913 , 9.793335 , 0.116861 , 32.117648 , 26.042037 , 2.625828 , 9.637968 , 0.233147 , 31.977700 , 25.724857 , 5.215475 , 9.179656 , 0.233543 , 32.730063 , 27.217587 , 5.527526 , 10.313755 , 0.236321 , 32.449197 , 26.683980 , 5.353883 , 9.752268 , 0.249005 , 33.550563 , 28.015514 , 6.336066 , 10.131639, 0.240523 , 33.048453 , 28.230577 , 6.256604 , 8.961698 , 0.237887 , 32.681742 , 26.527352 , 5.809472 , 9.461463 , 0.224929 , 32.964147 , 26.391147 , 5.430054 , 9.522943 , 12.629703 , 3.827773 , -49.374245 , 3.664013 , 5.069029 , 39.295953
 220615062341 , 25.728659 , 0.465304 , 0.012213 , 30.161657 , 9.303284 , 0.110482 , 32.798915 , 27.328379 , 2.603506 , 10.194086 , 0.229953 , 32.401783 , 27.149948 , 5.314116 , 10.551739 , 0.112765 , 31.898332 , 25.659729 , 2.505220 , 10.518605 , 0.225738 , 31.761124 , 25.539037 , 4.972640 , 10.211451 , 0.230876 , 32.553763 , 26.942657 , 5.348155 , 11.118353 , 0.232176 , 32.261294 , 26.312528 , 5.158606 , 10.586469 , 0.237626 , 33.342597 , 28.037681 , 5.935492 , 10.927434, 0.234473 , 32.863478 , 27.931891 , 5.931950 , 9.797640 , 0.232120 , 32.501272 , 27.214819 , 5.537411 , 10.368220 , 0.220724 , 32.785552 , 27.137639 , 5.196284 , 10.407062 , 4.716191 , 11.891459 , -64.344353 , 4.830375 , 5.081203 , 30.978931
 220615062449 , 28.156662 , 0.524369 , 0.014728 , 32.631018 , 9.330750 , 0.120143 , 32.967345 , 27.333198 , 2.881710 , 10.244778 , 0.251333 , 32.574155 , 27.004442 , 5.889974 , 10.676583 , 0.123248 , 32.095618 , 25.861849 , 2.774522 , 10.515461 , 0.245242 , 31.954894 , 25.763863 , 5.512823 , 10.125545 , 0.249929 , 32.726544 , 27.112624 , 5.923414 , 11.070611 , 0.251884 , 32.442084 , 26.808472 , 5.731428 , 10.517250 , 0.260378 , 33.501968 , 28.329445 , 6.572682 , 10.970145, 0.254956 , 33.019484 , 27.973140 , 6.553210 , 9.751301 , 0.252833 , 32.667909 , 27.510998 , 6.113424 , 10.355837 , 0.239928 , 32.951154 , 27.187470 , 5.745016 , 10.444162 , 4.665909 , 12.027554 , -64.575283 , 5.344044 , 6.051957 , 34.187860
 220615062549 , 30.132153 , 0.481171 , 0.013657 , 34.889641 , 9.275818 , 0.128419 , 33.091455 , 27.489446 , 3.107610 , 10.245456 , 0.268392 , 32.703494 , 28.196871 , 6.399294 , 10.751413 , 0.131634 , 32.236416 , 26.007919 , 2.991598 , 10.562767 , 0.262485 , 32.093688 , 26.113043 , 5.943767 , 10.081431 , 0.266398 , 32.856957 , 27.348423 , 6.387478 , 11.155163 , 0.268189 , 32.575709 , 26.834511 , 6.186539 , 10.743674 , 0.279702 , 33.618664 , 28.407721 , 7.075648 , 10.971451, 0.274095 , 33.135634 , 28.035750 , 7.037245 , 9.822841 , 0.271790 , 32.790976 , 27.778939 , 6.588494 , 10.237039 , 0.256197 , 33.074607 , 27.616005 , 6.195113 , 10.423411 , 4.622975 , 12.146110 , -64.776055 , 5.659489 , 5.898013 , 36.545442
 220615062650 , 31.827730 , 0.445795 , 0.010799 , 36.589562 , 9.188843 , 0.135738 , 33.191714 , 27.015941 , 3.337272 , 10.329911 , 0.284154 , 32.804344 , 27.566495 , 6.785142 , 10.810715 , 0.138510 , 32.350599 , 26.341334 , 3.186376 , 10.561316 , 0.277577 , 32.207852 , 26.234777 , 6.331629 , 10.090041 , 0.282171 , 32.948955 , 27.564703 , 6.809475 , 11.117869 , 0.287337 , 32.686953 , 27.221973 , 6.599968 , 10.357434 , 0.294301 , 33.715642 , 28.178780 , 7.627228 , 11.000232, 0.290109 , 33.229412 , 28.344103 , 7.589903 , 9.837691 , 0.285523 , 32.891941 , 26.873937 , 7.081777 , 10.281588 , 0.270287 , 33.175015 , 26.786937 , 6.664758 , 10.581051 , 4.580756 , 12.264861 , -64.976796 , 6.736175 , 6.259117 , 39.688883
 220615062752 , 32.739572 , 0.490311 , 0.011863 , 37.570224 , 9.298706 , 0.139826 , 33.240832 , 27.707036 , 3.409194 , 10.332039 , 0.291838 , 32.849090 , 27.465136 , 7.005873 , 10.762828 , 0.142890 , 32.410003 , 26.362353 , 3.290164 , 10.607655 , 0.284643 , 32.266297 , 26.189108 , 6.541260 , 10.125932 , 0.290049 , 33.012829 , 27.367206 , 7.036555 , 11.201502 , 0.292136 , 32.739435 , 27.142015 , 6.827682 , 10.557543 , 0.303699 , 33.761766 , 28.451596 , 7.777364 , 11.012228, 0.297487 , 33.274991 , 28.258291 , 7.723344 , 9.848139 , 0.294306 , 32.939733 , 27.561863 , 7.232982 , 10.413108 , 0.279025 , 33.224090 , 27.576486 , 6.806769 , 10.680647 , 4.537865 , 12.387775 , -65.184197 , 6.872904 , 6.681818 , 37.789721
 220615062852 , 32.515770 , 0.488692 , 0.011405 , 37.220530 , 9.321594 , 0.138147 , 33.228176 , 27.764353 , 3.383837 , 10.330636 , 0.287422 , 32.841481 , 27.495844 , 6.957685 , 10.765973 , 0.141755 , 32.396111 , 26.430285 , 3.261340 , 10.649931 , 0.283860 , 32.253435 , 26.174808 , 6.481092 , 10.125254 , 0.289229 , 33.000488 , 27.575016 , 6.987013 , 11.161161 , 0.289468 , 32.727687 , 27.170078 , 6.772388 , 10.492630 , 0.302094 , 33.751916 , 28.282167 , 7.706316 , 11.011357, 0.294338 , 33.265020 , 28.341065 , 7.659821 , 9.837981 , 0.292589 , 32.926922 , 27.696156 , 7.183863 , 10.357966 , 0.276745 , 33.211405 , 27.923500 , 6.753921 , 10.583809 , 4.497052 , 12.506921 , -65.384878 , 6.452118 , 6.964309 , 36.807395
 220615062953 , 31.390079 , 0.591948 , 0.013237 , 35.964055 , 9.161377 , 0.134175 , 33.157155 , 27.598581 , 3.248695 , 10.376153 , 0.277735 , 32.769189 , 27.445765 , 6.662448 , 10.766021 , 0.136195 , 32.319338 , 26.208821 , 3.131610 , 10.695593 , 0.272152 , 32.176871 , 26.211119 , 6.225902 , 10.344519 , 0.279105 , 32.922164 , 27.394736 , 6.705625 , 11.159807 , 0.280121 , 32.653006 , 27.040066 , 6.494460 , 10.709379 , 0.290497 , 33.685021 , 28.471372 , 7.412205 , 11.014259, 0.283448 , 33.198448 , 28.336921 , 7.357197 , 9.879241 , 0.282956 , 32.860503 , 27.473745 , 6.894216 , 10.315980 , 0.267354 , 33.140477 , 27.549538 , 6.477083 , 10.623714 , 4.456243 , 12.628248 , -65.588877 , 6.443134 , 6.834019 , 37.265814
 220615063053 , 32.663648 , 0.391233 , 0.012428 , 37.066145 , 9.307861 , 0.139562 , 33.224576 , 27.760214 , 3.392324 , 10.450112 , 0.291350 , 32.838900 , 27.047313 , 7.063152 , 10.883417 , 0.141943 , 32.394530 , 26.900783 , 3.276410 , 10.693803 , 0.283836 , 32.250158 , 27.227589 , 6.518588 , 10.115242 , 0.289973 , 32.985239 , 28.480648 , 7.043214 , 11.159662 , 0.290314 , 32.725768 , 27.754905 , 6.868292 , 10.624101 , 0.302297 , 33.746848 , 28.396500 , 7.732546 , 11.012760, 0.295688 , 33.260954 , 28.373935 , 7.675989 , 9.809297 , 0.293757 , 32.928884 , 27.653476 , 7.212232 , 10.326912 , 0.276674 , 33.207663 , 27.621199 , 6.768292 , 10.582889 , 4.416761 , 12.747778 , -65.789507 , 6.745801 , 6.837959 , 37.920697
 220615063153 , 36.087666 , 0.392277 , 0.010696 , 40.920242 , 9.307861 , 0.152809 , 33.400848 , 27.976613 , 3.787231 , 10.419155 , 0.321330 , 33.020630 , 27.928458 , 7.807765 , 10.726115 , 0.156944 , 32.585561 , 26.484661 , 3.659737 , 10.736853 , 0.313440 , 32.439433 , 26.410115 , 7.270781 , 10.392164 , 0.318646 , 33.163356 , 27.774999 , 7.819302 , 11.203050 , 0.322518 , 32.907952 , 27.271659 , 7.597551 , 10.579890 , 0.333599 , 33.914576 , 28.628660 , 8.615365 , 11.054794, 0.326332 , 33.425705 , 27.823245 , 8.578892 , 9.852540 , 0.322599 , 33.099207 , 27.977158 , 8.018732 , 10.496499 , 0.305282 , 33.383505 , 28.000806 , 7.561108 , 10.705606 , 4.377917 , 12.867496 , -65.990113 , 7.563253 , 7.319746 , 44.273069
